,name,provider,domain,base_uri,download_url,syntax,added_when,last_modified,imports,count_uri
0,Vehicle,Catena-X,Transport,https://w3id.org/catenax/ontology/vehicle,https://raw.githubusercontent.com/catenax-ng/product-ontology/main/ontology/vehicle_ontology.ttl,Turtle,2024-08-11,2024-08-15 19:52:10,"['https://w3id.org/catenax/ontology/vehicle', 'http://purl.org/dc/elements/1.1', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema', 'https://json-schema.org/draft/2020-12/schema', 'https://w3id.org/catenax/ontology/core', 'https://w3id.org/catenax/ontology/vehicle']",8.0
1,Dcat,W3C,Data,http://www.w3.org/ns/dcat,https://www.w3.org/ns/dcat2.ttl,Turtle,2024-08-12,2024-08-19 11:47:55,"['http://www.w3.org/ns/dcat', 'http://purl.org/dc/terms', 'http://purl.org/dc/dcmitype', 'http://xmlns.com/foaf/0.1', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/ns/prov', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://schema.org', 'http://www.w3.org/2004/02/skos/core', 'http://www.w3.org/2006/vcard/ns', 'http://www.w3.org/2001/XMLSchema']",12.0
2,Era,European Union Agency For Railways,Transport,http://data.europa.eu/949,https://data-interop.era.europa.eu/era-vocabulary/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://data.europa.eu/949', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
3,Core Ontology,Gaia-X,Data,http://w3id.org/gaia-x/core,https://gaia-x.gitlab.io/gaia-x-community/gaia-x-self-descriptions/core/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://w3id.org/gaia-x/core', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
4,Odrl,W3C,Data,http://www.w3.org/ns/odrl/2,https://www.w3.org/ns/odrl/2/ODRL22.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/ns/odrl/2', 'http://www.w3.org/ns/odrl/2', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2004/02/skos/core', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2001/XMLSchema', 'http://purl.org/dc/terms', 'http://schema.org', 'http://xmlns.com/foaf/0.1', 'http://www.w3.org/2006/vcard/ns', 'http://creativecommons.org/ns']",11.0
5,Metadata Terms,Dublin Core,Data,http://purl.org/dc/elements/1.1,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2004/02/skos/core', 'http://purl.org/dc/dcam', 'http://purl.org/dc/terms', 'http://www.w3.org/2000/01/rdf-schema']",6.0
6,Skos,W3C,Data,http://www.w3.org/2004/02/skos/core,https://www.w3.org/TR/skos-reference/skos.rdf,RDF/XML,2024-08-13,2024-08-15 19:52:10,"['http://purl.org/dc/terms', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2004/02/skos/core', 'http://www.w3.org/2004/02/skos/core']",5.0
7,Core,Catena-X,Transport,https://w3id.org/catenax/ontology/core,https://raw.githubusercontent.com/big-data-spaces/ontology/v24.05/ontology/core_ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://purl.org/dc/elements/1.1', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema', 'https://w3id.org/catenax/ontology/core', 'https://w3id.org/catenax/ontology/core']",6.0
8,Prov-O,W3C,Data,http://www.w3.org/ns/prov,https://www.w3.org/ns/prov-o,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/ns/prov', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2001/XMLSchema']",5.0
9,Transmodel Commons,Snap,Mobility,https://w3id.org/transmodel/commons,https://oeg-upm.github.io/snap-docs/tm-commons.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['https://w3id.org/transmodel/commons', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
10,Transmodel Fares,Snap,Mobility,https://w3id.org/transmodel/fares,https://oeg-upm.github.io/snap-docs/tm-fares.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['https://w3id.org/transmodel/fares', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
11,Transmodel Journeys,Snap,Mobility,https://w3id.org/transmodel/journeys,https://oeg-upm.github.io/snap-docs/tm-journeys.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['https://w3id.org/transmodel/journeys', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
12,Transmodel Organisations,Snap,Mobility,http://www.w3.org/ns/org,https://oeg-upm.github.io/snap-docs/tm-organisations.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/ns/org', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
13,Transmodel Facilities,Snap,Mobility,https://w3id.org/transmodel/facilities,https://oeg-upm.github.io/snap-docs/tm-facilities.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['https://w3id.org/transmodel/facilities', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']",6.0
